OrderID,OrderDate,CustomerID,ProductID,Region,Quantity,UnitPrice,Cost_x,Profit,Sales,Year,Month,Day,ProductName,Category,Cost_y,CustomerName,Segment,City
5001,2024-10-01,1076,17,South,9,824,104.0,6480.0,7416,2024,10,1,Product_17,Beverages,104,Customer_76,Corporate,Nanded
5016,2023-10-31,1087,17,South,9,234,104.0,1170.0,2106,2023,10,31,Product_17,Beverages,104,Customer_87,Small Business,Bangalore
5032,2024-11-03,1028,17,West,9,814,104.0,6390.0,7326,2024,11,3,Product_17,Beverages,104,Customer_28,Corporate,Nanded
5034,2024-08-09,1084,17,East,1,212,104.0,108.0,212,2024,8,9,Product_17,Beverages,104,Customer_84,Small Business,Mumbai
5048,2023-06-12,1010,17,South,7,610,104.0,3542.0,4270,2023,6,12,Product_17,Beverages,104,Customer_10,Corporate,Pune
5070,2023-12-31,1035,17,East,7,582,104.0,3346.0,4074,2023,12,31,Product_17,Beverages,104,Customer_35,Corporate,Mumbai
5124,2023-04-14,1020,17,West,8,624,104.0,4160.0,4992,2023,4,14,Product_17,Beverages,104,Customer_20,Small Business,Delhi
5134,2024-05-20,1091,17,East,6,298,104.0,1164.0,1788,2024,5,20,Product_17,Beverages,104,Customer_91,Small Business,Nanded
5179,2024-10-18,1059,17,North,3,465,104.0,1083.0,1395,2024,10,18,Product_17,Beverages,104,Customer_59,Consumer,Mumbai
5188,2024-10-02,1013,17,East,8,110,104.0,48.0,880,2024,10,2,Product_17,Beverages,104,Customer_13,Corporate,Pune
5191,2024-05-27,1053,17,East,5,518,104.0,2070.0,2590,2024,5,27,Product_17,Beverages,104,Customer_53,Consumer,Mumbai
5258,2024-02-01,1033,17,South,1,937,104.0,833.0,937,2024,2,1,Product_17,Beverages,104,Customer_33,Corporate,Mumbai
5306,2023-01-19,1042,17,North,8,760,104.0,5248.0,6080,2023,1,19,Product_17,Beverages,104,Customer_42,Consumer,Bangalore
5309,2024-01-31,1080,17,West,8,599,104.0,3960.0,4792,2024,1,31,Product_17,Beverages,104,Customer_80,Corporate,Pune
5328,2023-05-31,1065,17,South,9,690,104.0,5274.0,6210,2023,5,31,Product_17,Beverages,104,Customer_65,Small Business,Delhi
5335,2023-07-05,1013,17,South,1,674,104.0,570.0,674,2023,7,5,Product_17,Beverages,104,Customer_13,Corporate,Pune
5375,2023-09-09,1090,17,North,1,576,104.0,472.0,576,2023,9,9,Product_17,Beverages,104,Customer_90,Corporate,Nanded
5421,2024-02-06,1079,17,North,5,519,104.0,2075.0,2595,2024,2,6,Product_17,Beverages,104,Customer_79,Small Business,Mumbai
5444,2023-03-31,1026,17,West,5,241,104.0,685.0,1205,2023,3,31,Product_17,Beverages,104,Customer_26,Corporate,Nanded
5450,2023-02-10,1087,17,North,4,599,104.0,1980.0,2396,2023,2,10,Product_17,Beverages,104,Customer_87,Small Business,Bangalore
5461,2024-08-16,1011,17,South,6,218,104.0,684.0,1308,2024,8,16,Product_17,Beverages,104,Customer_11,Corporate,Pune
5471,2023-03-06,1015,17,West,4,941,104.0,3348.0,3764,2023,3,6,Product_17,Beverages,104,Customer_15,Corporate,Pune
5511,2023-04-05,1037,17,West,5,358,104.0,1270.0,1790,2023,4,5,Product_17,Beverages,104,Customer_37,Corporate,Mumbai
5523,2024-01-24,1013,17,North,6,923,104.0,4914.0,5538,2024,1,24,Product_17,Beverages,104,Customer_13,Corporate,Pune
5544,2023-12-01,1008,17,East,2,490,104.0,772.0,980,2023,12,1,Product_17,Beverages,104,Customer_8,Consumer,Pune
5558,2024-03-25,1021,17,North,3,853,104.0,2247.0,2559,2024,3,25,Product_17,Beverages,104,Customer_21,Corporate,Pune
5566,2024-01-09,1044,17,South,2,783,104.0,1358.0,1566,2024,1,9,Product_17,Beverages,104,Customer_44,Consumer,Pune
5568,2023-12-26,1053,17,North,7,301,104.0,1379.0,2107,2023,12,26,Product_17,Beverages,104,Customer_53,Consumer,Mumbai
5575,2024-11-02,1086,17,North,4,150,104.0,184.0,600,2024,11,2,Product_17,Beverages,104,Customer_86,Consumer,Nanded
5614,2023-10-30,1025,17,West,8,733,104.0,5032.0,5864,2023,10,30,Product_17,Beverages,104,Customer_25,Corporate,Nanded
5618,2024-06-09,1007,17,West,9,231,104.0,1143.0,2079,2024,6,9,Product_17,Beverages,104,Customer_7,Corporate,Nanded
5623,2024-01-21,1043,17,South,2,839,104.0,1470.0,1678,2024,1,21,Product_17,Beverages,104,Customer_43,Corporate,Mumbai
5639,2024-04-29,1059,17,South,8,680,104.0,4608.0,5440,2024,4,29,Product_17,Beverages,104,Customer_59,Consumer,Mumbai
5655,2023-03-08,1005,17,West,6,762,104.0,3948.0,4572,2023,3,8,Product_17,Beverages,104,Customer_5,Consumer,Bangalore
5656,2023-08-21,1056,17,East,1,464,104.0,360.0,464,2023,8,21,Product_17,Beverages,104,Customer_56,Consumer,Nanded
5670,2024-06-01,1026,17,West,1,442,104.0,338.0,442,2024,6,1,Product_17,Beverages,104,Customer_26,Corporate,Nanded
5696,2024-07-01,1084,17,South,1,366,104.0,262.0,366,2024,7,1,Product_17,Beverages,104,Customer_84,Small Business,Mumbai
5714,2023-06-22,1086,17,North,6,504,104.0,2400.0,3024,2023,6,22,Product_17,Beverages,104,Customer_86,Consumer,Nanded
5765,2023-12-15,1066,17,East,1,474,104.0,370.0,474,2023,12,15,Product_17,Beverages,104,Customer_66,Small Business,Delhi
5776,2023-05-12,1039,17,West,7,393,104.0,2023.0,2751,2023,5,12,Product_17,Beverages,104,Customer_39,Small Business,Pune
5797,2023-02-08,1055,17,East,8,762,104.0,5264.0,6096,2023,2,8,Product_17,Beverages,104,Customer_55,Consumer,Nanded
5802,2023-06-28,1027,17,North,4,980,104.0,3504.0,3920,2023,6,28,Product_17,Beverages,104,Customer_27,Corporate,Nanded
5803,2024-07-07,1093,17,North,9,746,104.0,5778.0,6714,2024,7,7,Product_17,Beverages,104,Customer_93,Consumer,Nanded
5811,2023-08-19,1027,17,East,2,997,104.0,1786.0,1994,2023,8,19,Product_17,Beverages,104,Customer_27,Corporate,Nanded
5819,2023-09-11,1084,17,South,2,660,104.0,1112.0,1320,2023,9,11,Product_17,Beverages,104,Customer_84,Small Business,Mumbai
5822,2024-06-05,1035,17,North,8,248,104.0,1152.0,1984,2024,6,5,Product_17,Beverages,104,Customer_35,Corporate,Mumbai
5837,2024-11-15,1001,17,East,6,407,104.0,1818.0,2442,2024,11,15,Product_17,Beverages,104,Customer_1,Consumer,Delhi
5844,2023-03-10,1075,17,East,6,341,104.0,1422.0,2046,2023,3,10,Product_17,Beverages,104,Customer_75,Consumer,Delhi
5848,2024-07-03,1017,17,West,8,968,104.0,6912.0,7744,2024,7,3,Product_17,Beverages,104,Customer_17,Small Business,Bangalore
5851,2023-01-23,1041,17,South,1,709,104.0,605.0,709,2023,1,23,Product_17,Beverages,104,Customer_41,Small Business,Bangalore
5862,2024-11-13,1019,17,North,5,996,104.0,4460.0,4980,2024,11,13,Product_17,Beverages,104,Customer_19,Small Business,Delhi
5888,2024-03-06,1067,17,West,7,382,104.0,1946.0,2674,2024,3,6,Product_17,Beverages,104,Customer_67,Consumer,Nanded
5904,2024-02-22,1087,17,North,2,190,104.0,172.0,380,2024,2,22,Product_17,Beverages,104,Customer_87,Small Business,Bangalore
5948,2023-05-24,1039,17,North,4,805,104.0,2804.0,3220,2023,5,24,Product_17,Beverages,104,Customer_39,Small Business,Pune
5965,2024-04-02,1011,17,South,1,386,104.0,282.0,386,2024,4,2,Product_17,Beverages,104,Customer_11,Corporate,Pune
5966,2023-06-11,1096,17,East,6,610,104.0,3036.0,3660,2023,6,11,Product_17,Beverages,104,Customer_96,Small Business,Bangalore
5983,2024-08-31,1015,17,North,8,208,104.0,832.0,1664,2024,8,31,Product_17,Beverages,104,Customer_15,Corporate,Pune
6019,2023-09-18,1083,17,South,6,434,104.0,1980.0,2604,2023,9,18,Product_17,Beverages,104,Customer_83,Corporate,Bangalore
6062,2024-11-07,1007,17,West,1,308,104.0,204.0,308,2024,11,7,Product_17,Beverages,104,Customer_7,Corporate,Nanded
6131,2023-05-11,1069,17,North,8,849,104.0,5960.0,6792,2023,5,11,Product_17,Beverages,104,Customer_69,Consumer,Mumbai
6211,2024-03-01,1036,17,South,8,843,104.0,5912.0,6744,2024,3,1,Product_17,Beverages,104,Customer_36,Corporate,Bangalore
6217,2024-02-18,1046,17,North,8,820,104.0,5728.0,6560,2024,2,18,Product_17,Beverages,104,Customer_46,Corporate,Bangalore
6220,2023-10-01,1006,17,East,7,631,104.0,3689.0,4417,2023,10,1,Product_17,Beverages,104,Customer_6,Small Business,Mumbai
6225,2024-04-21,1027,17,North,4,790,104.0,2744.0,3160,2024,4,21,Product_17,Beverages,104,Customer_27,Corporate,Nanded
6234,2023-12-25,1093,17,West,9,315,104.0,1899.0,2835,2023,12,25,Product_17,Beverages,104,Customer_93,Consumer,Nanded
